case,temp,tray spacing,dist flow,cond liq flow
Case 521,12,0.64,<empty>,29135.52286
Case 522,12,0.65,<empty>,29135.52286
Case 523,12,0.66,<empty>,29135.52286
Case 524,12,0.67,<empty>,29135.52286
Case 525,12,0.68,<empty>,29135.52286
Case 526,12,0.69,<empty>,29135.52286
Case 527,12,0.7,<empty>,29135.52286
Case 528,11.5,0.4,<empty>,29335.9382
Case 529,11.5,0.41,<empty>,29335.9382
Case 530,11.5,0.42,<empty>,29335.9382
Case 531,11.5,0.43,<empty>,29335.9382
Case 532,11.5,0.44,<empty>,29335.9382
Case 533,11.5,0.45,<empty>,29335.9382
Case 534,11.5,0.46,<empty>,29335.9382
Case 535,11.5,0.47,<empty>,29335.9382
Case 536,11.5,0.48,<empty>,29335.9382
Case 537,11.5,0.49,<empty>,29335.9382
Case 538,11.5,0.5,<empty>,29335.9382
Case 539,11.5,0.51,<empty>,29335.9382
Case 540,11.5,0.52,<empty>,29335.9382
Case 541,11.5,0.53,<empty>,29335.9382
Case 542,11.5,0.54,<empty>,29335.9382
Case 543,11.5,0.55,<empty>,29335.9382
Case 544,11.5,0.56,<empty>,29335.9382
Case 545,11.5,0.57,<empty>,29335.9382
Case 546,11.5,0.58,<empty>,29335.9382
Case 547,11.5,0.59,<empty>,29335.9382
Case 548,11.5,0.6,<empty>,29335.9382
Case 549,11.5,0.61,<empty>,29335.9382
Case 550,11.5,0.62,<empty>,29335.9382
Case 551,11.5,0.63,<empty>,29335.9382
Case 552,11.5,0.64,<empty>,29335.9382
Case 553,11.5,0.65,<empty>,29335.9382
Case 554,11.5,0.66,<empty>,29335.9382
Case 555,11.5,0.67,<empty>,29335.9382
Case 556,11.5,0.68,<empty>,29335.9382
Case 557,11.5,0.69,<empty>,29335.9382
Case 558,11.5,0.7,<empty>,29335.9382
Case 559,11,0.4,<empty>,29569.13262
Case 560,11,0.41,<empty>,29569.13262
Case 561,11,0.42,<empty>,29569.13262
Case 562,11,0.43,<empty>,29569.13262
Case 563,11,0.44,<empty>,29569.13262
Case 564,11,0.45,<empty>,29569.13262
Case 565,11,0.46,<empty>,29569.13262
Case 566,11,0.47,<empty>,29569.13262
Case 567,11,0.48,<empty>,29569.13262
Case 568,11,0.49,<empty>,29569.13262
Case 569,11,0.5,<empty>,29569.13262
Case 570,11,0.51,<empty>,29569.13262
Case 571,11,0.52,<empty>,29569.13262
Case 572,11,0.53,<empty>,29569.13262
Case 573,11,0.54,<empty>,29569.13262
Case 574,11,0.55,<empty>,29569.13262
Case 575,11,0.56,<empty>,29569.13262
Case 576,11,0.57,<empty>,29569.13262
Case 577,11,0.58,<empty>,29569.13262
Case 578,11,0.59,<empty>,29569.13262
Case 579,11,0.6,<empty>,29569.13262
Case 580,11,0.61,<empty>,29569.13262
Case 581,11,0.62,<empty>,29569.13262
Case 582,11,0.63,<empty>,29569.13262
Case 583,11,0.64,<empty>,29569.13262
Case 584,11,0.65,<empty>,29569.13262
Case 585,11,0.66,<empty>,29569.13262
Case 586,11,0.67,<empty>,29569.13262
Case 587,11,0.68,<empty>,29569.13262
Case 588,11,0.69,<empty>,29569.13262
Case 589,11,0.7,<empty>,29569.13262
Case 590,10.5,0.4,<empty>,23906.03391
